name,address,city,state,zip,phone,website,google_maps_url,google_rating,google_review_count,place_id,latitude,longitude,hours,source
Dental Care of West Melbourne,"715 Palm Bay Rd NE Unit 107, West Melbourne",FL 32904,US,,(321) 410-8622,http://dentalcareofwestmelbourne.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17783223130450008449&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,1080,ChIJFaf9d6IN3ogRgZn7szezyvY,28.035867999999997,-80.65134599999999,Monday: 9:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 7:00 AM – 3:30 PM; Saturday: Closed; Sunday: Closed,google_places
Great Expressions Dental Centers - Melbourne,"205 Palm Bay Rd NE Ste 159, Melbourne",FL 32904,US,,(321) 218-4671,https://www.greatexpressions.com/dental-offices/dentist-in-melbourne-florida-palm-bay-rd/,https://maps.google.com/?cid=6992569681122640181&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.4,767,ChIJayULcgwO3ogRNUF7phOZCmE,28.038650699999998,-80.664197,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Melbourne Family Dental,"2900 Lake Washington Rd Ste. 3, Melbourne",FL 32935,US,,(321) 780-2178,http://melbournefamilydental.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=9056209380612215562&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.9,1432,ChIJ8bt-15gP3ogRCpPzJnMern0,28.147174999999997,-80.670765,Monday: 7:00 AM – 4:00 PM; Tuesday: 7:00 AM – 4:00 PM; Wednesday: 7:00 AM – 4:00 PM; Thursday: 7:00 AM – 4:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,google_places
Coast Dental,"145 Palm Bay Rd NE Ste 104, West Melbourne",FL 32904,US,,(321) 728-8053,https://www.coastdental.com/dentist-office/west-melbourne-fl-32904?utm_source=gmb&utm_medium=organic,https://maps.google.com/?cid=149094218904143149&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,3.9,508,ChIJ4RJUUK4N3ogRLYXY82awEQI,28.037716999999997,-80.6692781,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
"Aspen Dental - West Melbourne, FL","249 Palm Bay Rd NE, West Melbourne",FL 32904,US,,(321) 482-5220,"https://www.aspendental.com/dentist/fl/west-melbourne/249-palm-bay-road-ne?utm_source=googleplaces&utm_medium=lociqgoogleplaces&utm_campaign=West-Melbourne,FL-West-Melbourne_FL-1494&utm_content=listing",https://maps.google.com/?cid=9417904495788298284&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.3,1209,ChIJdY67a6wN3ogRLBAEoD0es4I,28.0361418,-80.6637226,Monday: 7:00 AM – 5:00 PM; Tuesday: 7:00 AM – 5:00 PM; Wednesday: 7:00 AM – 5:00 PM; Thursday: 7:00 AM – 5:00 PM; Friday: 7:00 AM – 5:00 PM; Saturday: 7:00 AM – 1:00 PM; Sunday: Closed,google_places
New Image Dentistry,"2235 W New Haven Ave, Melbourne",FL 32904,US,,(321) 956-5664,https://newimagedentistry.net/west-melbourne?y_source=1_MTQwNDUxNzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=4361932258950521826&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,586,ChIJfSk0QQsO3ogR4iMQbUeyiDw,28.0776893,-80.6587024,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Babcock Dental Center LLC,"4070 S Babcock St Suite 104, Melbourne",FL 32901,US,,(321) 984-1991,http://www.babcockdentalcenterpalmbay.com/,https://maps.google.com/?cid=7646141312057083928&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,351,ChIJKQiFIWUS3ogRGAiaJwONHGo,28.0475033,-80.6223476,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Dental Partners - Melbourne,"2419 S Babcock St, Melbourne",FL 32901,US,,(321) 956-7700,https://melbournedentalpartners.com/,https://maps.google.com/?cid=13803953223102147730&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,482,ChIJG57l_PcR3ogRkqwc51F-kb8,28.071802599999998,-80.6208386,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,google_places
New Image Dentistry,"5132 Minton Rd STE A, Palm Bay",FL 32907,US,,(321) 725-9595,https://newimagedentistry.net/minton?y_source=1_MTQwNDUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=4569755273363660051&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,694,ChIJ4VCWL6oN3ogREx1PozUIaz8,28.030786799999998,-80.6721523,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 9:00 AM – 3:00 PM; Sunday: Closed,google_places
River Breeze Dental Care,"5201 Babcock St NE # 4, Palm Bay",FL 32905,US,,(321) 342-3368,http://riverbreezedentalcare.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17670827916267599115&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,710,ChIJb3teoIgS3ogRC7UvpF1kO_U,28.020643,-80.621667,Monday: 8:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
"Dr. Syed Quadri, DMD | Palm Bay Dentist","2090 Palm Bay Rd NE, Palm Bay",FL 32905,US,,(321) 984-2255,https://drquadri.com/,https://maps.google.com/?cid=12225014472231200144&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,776,ChIJuza452cS3ogRkKVZP-T5p6k,28.034523399999998,-80.611909,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:30 PM; Wednesday: 8:00 AM – 5:30 PM; Thursday: 8:00 AM – 5:30 PM; Friday: 8:00 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,google_places
Capeside Dental,"4545 Durham Dr #101, West Melbourne",FL 32904,US,,(321) 499-2995,https://www.capesidefamilydentistry.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,https://maps.google.com/?cid=3055043416264250478&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.3,189,ChIJcXtEaKIN3ogRbpTT_8yxZSo,28.0358979,-80.6446636,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: Closed,google_places
New Image Dentistry,"1890 Palm Bay Rd NE Ste 2, Palm Bay",FL 32905,US,,(321) 724-5100,https://newimagedentistry.net/palm-bay?y_source=1_MTQwNDUxNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=14025709786155190579&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,482,ChIJ8Q-72GUS3ogRMwmANr1UpcI,28.0345414,-80.61610379999999,Monday: 8:00 AM – 2:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 5:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Artistic Touch Dentistry,"1061 S Wickham Rd, West Melbourne",FL 32904,US,,(321) 724-1400,https://www.artistictouchdentistry.com/,https://maps.google.com/?cid=1896972982650541094&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,5,515,ChIJz2r9dWMO3ogRJhRmi-BmUxo,28.089805499999997,-80.6722418,Monday: 7:30 AM – 2:30 PM; Tuesday: 7:30 AM – 4:00 PM; Wednesday: 7:30 AM – 4:00 PM; Thursday: 7:30 AM – 2:30 PM; Friday: 7:30 AM – 2:30 PM; Saturday: Closed; Sunday: Closed,google_places
Palm Bay Dental Center,"1764 Palm Bay Rd NE, Palm Bay",FL 32905,US,,(321) 725-5512,https://palmbaydental.com/contact-us?y_source=1_MTQwNDUxNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=17542787159033871359&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,594,ChIJo46W9WQS3ogR_3t_uPl_dPM,28.0339557,-80.6190247,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Ultimate Smile Design,"730 Emerson Dr NE, Palm Bay",FL 32907,US,,(321) 984-7878,https://www.ultimatesmiledesign.net/,https://maps.google.com/?cid=3323283212840497633&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.9,255,ChIJg_s1xg0N3ogR4XFgfXmsHi4,28.018301,-80.6592156,Monday: 7:30 AM – 4:30 PM; Tuesday: 7:30 AM – 4:30 PM; Wednesday: 7:30 AM – 4:30 PM; Thursday: 7:30 AM – 4:30 PM; Friday: 7:30 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,google_places
Affordable Dentures & Implants,"1529 W New Haven Ave, West Melbourne",FL 32904,US,,(321) 966-1506,https://www.affordabledentures.com/locations/fl/west-melbourne?utm_source=GMB&utm_medium=Organic_Listing&utm_campaign=20130,https://maps.google.com/?cid=16638067288397254670&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,1206,ChIJM0LRzQgO3ogRDhD36QtK5uY,28.0776066,-80.64597859999999,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Rowley Family Dentistry,"205 W New Haven Ave, Melbourne",FL 32901,US,,(321) 723-1772,https://www.rowleyfamilydentistry.com/,https://maps.google.com/?cid=4419049066151519830&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,5,436,ChIJuVU9Q3YC3ogRVqb7aLadUz0,28.078392,-80.625395,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 3:30 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,google_places
Implant Dentistry of Florida,"1801 W Hibiscus Blvd, Melbourne",FL 32901,US,,(321) 372-7700,https://drimplant.com/,https://maps.google.com/?cid=10761097045403716193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.9,305,ChIJP7p8RLUP3ogRYUrLgL8YV5U,28.085021,-80.6501585,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,google_places
Celebrity Smiles,"2575 W New Haven Ave, West Melbourne",FL 32904,US,,(321) 914-0929,https://www.celebritysmilesonline.com/,https://maps.google.com/?cid=7890435410995343846&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,544,ChIJuTwvvnYO3ogR5nGKczN1gG0,28.078235099999997,-80.6630654,Monday: 9:00 AM – 6:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 9:00 AM – 2:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places